Date,Daily_Return,Cumulative_Return
2023-03-03,0.035817446322383484,0.035817446322383484
2023-03-06,-0.0016387670628036366,0.034119982808273
2023-03-07,-0.011845040286914799,0.021870789950405367
2023-03-08,-0.002870230217312364,0.018937785530900753
2023-03-09,-0.020355192304074454,-0.0018028890394684582
2023-03-10,-0.011290540169857977,-0.013073073618204534
2023-03-13,0.013613013106541505,0.00036197556582950874
2023-03-14,0.03780846175171271,0.03818412305687802
2023-03-15,0.008449134843368178,0.04695588070482959
2023-03-16,0.031623181579264914,0.08006395662583765
2023-03-17,-0.014532660037749445,0.06436775432516773
2023-03-20,0.00035902627098005624,0.06474989031095446
2023-03-21,0.027668164204400547,0.09420956511269551
2023-03-22,-0.015077232763616055,0.07771191280731626
2023-03-23,0.011299293395511834,0.0898892959059645
2023-03-24,0.0028897847264608423,0.09303884134680662
2023-03-27,-0.007899271479875125,0.08440463080096006
2023-03-28,-0.007987907963223018,0.07574250641522906
2023-03-29,0.02349158822648989,0.10101340641366785
2023-03-30,0.01197902617649027,0.11420247482976387
2023-03-31,0.023911341928598784,0.14084455118310935
2023-04-03,-0.010794475041984053,0.12852973314857974
2023-04-04,0.0020503782564376127,0.13084364597517095
2023-04-05,-0.019357805787486027,0.10895299430037109
2023-04-06,0.012781274724166014,0.12312682717671053
2023-04-10,-0.006515274268576232,0.11580934785925834
2023-04-11,-0.00963759809984488,0.10505562580854089
2023-04-12,-0.00997019500277152,0.09403800573032006
2023-04-13,0.03235925637144321,0.12944026203784986
2023-04-14,-0.002511998055598874,0.1266031102956957
2023-04-17,0.0014871765641966128,0.12827856803847837
2023-04-18,-0.003038577805146603,0.12485020582361406
2023-04-19,-0.00017298713606217486,0.12465562120800966
2023-04-20,-0.022094070038586544,0.09980740114374975
2023-04-21,0.005634662519562905,0.10600444468571224
2023-04-24,-0.006412931692840962,0.09891171372996421
2023-04-25,-0.021142484589215416,0.07567798975752016
2023-04-26,0.01563883408349298,0.09250033936660329
2023-04-27,0.05944196413878777,0.15744070536084642
2023-04-28,0.00028887341609573625,0.15777505921133228
2023-05-01,-0.006975813197193426,0.14969863667390437
